TICKER;DATE;OPEN;HIGH;LOW;CLOSE;VOL;WAPRICE;NOMINAL
AMD;2016-11-29;;;;13.5353;;;100
AUD;2016-11-29;;;;48.6345;;;1
AZN;2016-11-29;;;;37.7502;;;1
BGN;2016-11-29;;;;35.4013;;;1
BRL;2016-11-29;;;;18.9672;;;1
BYN;2016-11-29;;;;33.0106;;;1
CAD;2016-11-29;;;;48.1853;;;1
CHF;2016-11-29;;;;64.3682;;;1
CNY;2016-11-29;;;;94.0502;;;10
CZK;2016-11-29;;;;25.595;;;10
DKK;2016-11-29;;;;93.0832;;;10
EUR;2016-11-29;;;;69.1608;;;1
GBP;2016-11-29;;;;81.209;;;1
HUF;2016-11-29;;;;22.3495;;;100
INR;2016-11-29;;;;94.4566;;;100
JPY;2016-11-29;;;;58.0456;;;100
KGS;2016-11-29;;;;93.8082;;;100
KRW;2016-11-29;;;;55.4862;;;1000
KZT;2016-11-29;;;;19.0594;;;100
MDL;2016-11-29;;;;31.978;;;10
NOK;2016-11-29;;;;76.0979;;;10
PLN;2016-11-29;;;;15.6853;;;1
RON;2016-11-29;;;;15.341;;;1
SEK;2016-11-29;;;;70.7054;;;10
SGD;2016-11-29;;;;45.5802;;;1
TJS;2016-11-29;;;;82.4845;;;10
TMT;2016-11-29;;;;18.5738;;;1
TRY;2016-11-29;;;;18.9994;;;1
UAH;2016-11-29;;;;25.3032;;;10
USD;2016-11-29;;;;64.9153;;;1
UZS;2016-11-29;;;;20.5754;;;1000
XDR;2016-11-29;;;;87.8629;;;1
ZAR;2016-11-29;;;;46.9173;;;10
AMD;2016-11-30;;;;13.5161;;;100
AUD;2016-11-30;;;;48.6307;;;1
AZN;2016-11-30;;;;37.1964;;;1
BGN;2016-11-30;;;;35.233;;;1
BRL;2016-11-30;;;;19.0818;;;1
BYN;2016-11-30;;;;32.9419;;;1
CAD;2016-11-30;;;;48.3293;;;1
CHF;2016-11-30;;;;64.0293;;;1
CNY;2016-11-30;;;;94.2419;;;10
CZK;2016-11-30;;;;25.4826;;;10
DKK;2016-11-30;;;;92.6461;;;10
EUR;2016-11-30;;;;68.8416;;;1
GBP;2016-11-30;;;;80.6356;;;1
HUF;2016-11-30;;;;22.1519;;;100
INR;2016-11-30;;;;94.5891;;;100
JPY;2016-11-30;;;;57.8187;;;100
KGS;2016-11-30;;;;93.9155;;;100
KRW;2016-11-30;;;;55.5125;;;1000
KZT;2016-11-30;;;;19.0709;;;100
MDL;2016-11-30;;;;32.0241;;;10
NOK;2016-11-30;;;;75.8551;;;10
PLN;2016-11-30;;;;15.5691;;;1
RON;2016-11-30;;;;15.2625;;;1
SEK;2016-11-30;;;;70.5954;;;10
SGD;2016-11-30;;;;45.5211;;;1
TJS;2016-11-30;;;;82.6271;;;10
TMT;2016-11-30;;;;18.5902;;;1
TRY;2016-11-30;;;;19.0008;;;1
UAH;2016-11-30;;;;24.845;;;10
USD;2016-11-30;;;;64.9449;;;1
UZS;2016-11-30;;;;20.6109;;;1000
XDR;2016-11-30;;;;87.7906;;;1
ZAR;2016-11-30;;;;46.9086;;;10
AMD;2016-12-01;;;;13.5743;;;100
AUD;2016-12-01;;;;48.7982;;;1
AZN;2016-12-01;;;;37.2088;;;1
BGN;2016-12-01;;;;35.4806;;;1
BRL;2016-12-01;;;;18.9102;;;1
BYN;2016-12-01;;;;32.9652;;;1
CAD;2016-12-01;;;;48.5439;;;1
CHF;2016-12-01;;;;64.2804;;;1
CNY;2016-12-01;;;;94.7321;;;10
CZK;2016-12-01;;;;25.645;;;10
DKK;2016-12-01;;;;93.28;;;10
EUR;2016-12-01;;;;69.3417;;;1
GBP;2016-12-01;;;;81.4499;;;1
HUF;2016-12-01;;;;22.309;;;100
INR;2016-12-01;;;;95.3148;;;100
JPY;2016-12-01;;;;57.8712;;;100
KGS;2016-12-01;;;;94.3342;;;100
KRW;2016-12-01;;;;55.7156;;;1000
KZT;2016-12-01;;;;19.092;;;100
MDL;2016-12-01;;;;32.1608;;;10
NOK;2016-12-01;;;;76.4316;;;10
PLN;2016-12-01;;;;15.6368;;;1
RON;2016-12-01;;;;15.3578;;;1
SEK;2016-12-01;;;;71.1772;;;10
SGD;2016-12-01;;;;45.7812;;;1
TJS;2016-12-01;;;;82.58;;;10
TMT;2016-12-01;;;;18.6784;;;1
TRY;2016-12-01;;;;19.0895;;;1
UAH;2016-12-01;;;;25.4837;;;10
USD;2016-12-01;;;;65.2382;;;1
UZS;2016-12-01;;;;20.7105;;;1000
XDR;2016-12-01;;;;88.2086;;;1
ZAR;2016-12-01;;;;46.5821;;;10
AMD;2016-12-02;;;;13.2337;;;100
AUD;2016-12-02;;;;47.0982;;;1
AZN;2016-12-02;;;;36.3205;;;1
BGN;2016-12-02;;;;34.5321;;;1
BRL;2016-12-02;;;;18.684;;;1
BYN;2016-12-02;;;;32.4653;;;1
CAD;2016-12-02;;;;47.4839;;;1
CHF;2016-12-02;;;;62.6902;;;1
CNY;2016-12-02;;;;92.3618;;;10
CZK;2016-12-02;;;;24.9679;;;10
DKK;2016-12-02;;;;90.7779;;;10
EUR;2016-12-02;;;;67.6162;;;1
GBP;2016-12-02;;;;79.8747;;;1
HUF;2016-12-02;;;;21.6039;;;100
INR;2016-12-02;;;;93.1617;;;100
JPY;2016-12-02;;;;55.7258;;;100
KGS;2016-12-02;;;;92.0825;;;100
KRW;2016-12-02;;;;54.4338;;;1000
KZT;2016-12-02;;;;18.7464;;;100
MDL;2016-12-02;;;;31.3884;;;10
NOK;2016-12-02;;;;74.9387;;;10
PLN;2016-12-02;;;;15.1762;;;1
RON;2016-12-02;;;;14.9657;;;1
SEK;2016-12-02;;;;68.9043;;;10
SGD;2016-12-02;;;;44.5288;;;1
TJS;2016-12-02;;;;81.0187;;;10
TMT;2016-12-02;;;;18.2388;;;1
TRY;2016-12-02;;;;18.4753;;;1
UAH;2016-12-02;;;;24.8704;;;10
USD;2016-12-02;;;;63.6807;;;1
UZS;2016-12-02;;;;20.2033;;;1000
XDR;2016-12-02;;;;86.2084;;;1
ZAR;2016-12-02;;;;45.5155;;;10
AMD;2016-12-03;;;;13.3235;;;100
AUD;2016-12-03;;;;47.627;;;1
AZN;2016-12-03;;;;36.9842;;;1
BGN;2016-12-03;;;;34.9835;;;1
BRL;2016-12-03;;;;17.9373;;;1
BYN;2016-12-03;;;;32.6145;;;1
CAD;2016-12-03;;;;48.2316;;;1
CHF;2016-12-03;;;;63.4799;;;1
CNY;2016-12-03;;;;93.2155;;;10
CZK;2016-12-03;;;;25.2854;;;10
DKK;2016-12-03;;;;91.9727;;;10
EUR;2016-12-03;;;;68.4703;;;1
GBP;2016-12-03;;;;80.9223;;;1
HUF;2016-12-03;;;;21.7615;;;100
INR;2016-12-03;;;;93.9899;;;100
JPY;2016-12-03;;;;56.2917;;;100
KGS;2016-12-03;;;;92.8201;;;100
KRW;2016-12-03;;;;54.8026;;;1000
KZT;2016-12-03;;;;19.028;;;100
MDL;2016-12-03;;;;31.6823;;;10
NOK;2016-12-03;;;;76.1566;;;10
PLN;2016-12-03;;;;15.231;;;1
RON;2016-12-03;;;;15.1558;;;1
SEK;2016-12-03;;;;69.6632;;;10
SGD;2016-12-03;;;;45.0638;;;1
TJS;2016-12-03;;;;81.2575;;;10
TMT;2016-12-03;;;;18.374;;;1
TRY;2016-12-03;;;;18.3851;;;1
UAH;2016-12-03;;;;24.8221;;;10
USD;2016-12-03;;;;64.1528;;;1
UZS;2016-12-03;;;;20.366;;;1000
XDR;2016-12-03;;;;86.8199;;;1
ZAR;2016-12-03;;;;45.5874;;;10
AMD;2016-12-06;;;;13.2788;;;100
AUD;2016-12-06;;;;47.598;;;1
AZN;2016-12-06;;;;36.8673;;;1
BGN;2016-12-06;;;;34.8;;;1
BRL;2016-12-06;;;;18.3928;;;1
BYN;2016-12-06;;;;32.4736;;;1
CAD;2016-12-06;;;;48.0092;;;1
CHF;2016-12-06;;;;63.1163;;;1
CNY;2016-12-06;;;;92.8362;;;10
CZK;2016-12-06;;;;25.1774;;;10
DKK;2016-12-06;;;;91.5098;;;10
EUR;2016-12-06;;;;67.766;;;1
GBP;2016-12-06;;;;81.3244;;;1
HUF;2016-12-06;;;;21.7348;;;100
INR;2016-12-06;;;;93.7649;;;100
JPY;2016-12-06;;;;56.0223;;;100
KGS;2016-12-06;;;;92.4027;;;100
KRW;2016-12-06;;;;54.5459;;;1000
KZT;2016-12-06;;;;19.1018;;;100
MDL;2016-12-06;;;;31.6065;;;10
NOK;2016-12-06;;;;75.8348;;;10
PLN;2016-12-06;;;;15.1882;;;1
RON;2016-12-06;;;;15.0957;;;1
SEK;2016-12-06;;;;69.5546;;;10
SGD;2016-12-06;;;;44.9095;;;1
TJS;2016-12-06;;;;81.0193;;;10
TMT;2016-12-06;;;;18.3111;;;1
TRY;2016-12-06;;;;18.0419;;;1
UAH;2016-12-06;;;;24.4452;;;10
USD;2016-12-06;;;;63.9242;;;1
UZS;2016-12-06;;;;20.2934;;;1000
XDR;2016-12-06;;;;86.625;;;1
ZAR;2016-12-06;;;;46.2783;;;10
AMD;2016-12-07;;;;13.2629;;;100
AUD;2016-12-07;;;;47.4904;;;1
AZN;2016-12-07;;;;36.3831;;;1
BGN;2016-12-07;;;;35.1962;;;1
BRL;2016-12-07;;;;18.6668;;;1
BYN;2016-12-07;;;;32.4481;;;1
CAD;2016-12-07;;;;48.1378;;;1
CHF;2016-12-07;;;;63.5121;;;1
CNY;2016-12-07;;;;92.8902;;;10
CZK;2016-12-07;;;;25.4458;;;10
DKK;2016-12-07;;;;92.5202;;;10
EUR;2016-12-07;;;;68.6902;;;1
GBP;2016-12-07;;;;81.4778;;;1
HUF;2016-12-07;;;;21.9273;;;100
INR;2016-12-07;;;;94.0224;;;100
JPY;2016-12-07;;;;56.0865;;;100
KGS;2016-12-07;;;;92.5376;;;100
KRW;2016-12-07;;;;54.5937;;;1000
KZT;2016-12-07;;;;19.0356;;;100
MDL;2016-12-07;;;;31.6522;;;10
NOK;2016-12-07;;;;76.4749;;;10
PLN;2016-12-07;;;;15.2772;;;1
RON;2016-12-07;;;;15.293;;;1
SEK;2016-12-07;;;;70.052;;;10
SGD;2016-12-07;;;;44.9944;;;1
TJS;2016-12-07;;;;80.9045;;;10
TMT;2016-12-07;;;;18.2994;;;1
TRY;2016-12-07;;;;18.1424;;;1
UAH;2016-12-07;;;;24.4775;;;10
USD;2016-12-07;;;;63.8741;;;1
UZS;2016-12-07;;;;20.2775;;;1000
XDR;2016-12-07;;;;86.7289;;;1
ZAR;2016-12-07;;;;46.7107;;;10
AMD;2016-12-08;;;;13.2459;;;100
AUD;2016-12-08;;;;47.4734;;;1
AZN;2016-12-08;;;;36.7962;;;1
BGN;2016-12-08;;;;35.0372;;;1
BRL;2016-12-08;;;;18.7616;;;1
BYN;2016-12-08;;;;32.303;;;1
CAD;2016-12-08;;;;48.0971;;;1
CHF;2016-12-08;;;;63.3162;;;1
CNY;2016-12-08;;;;92.8297;;;10
CZK;2016-12-08;;;;25.3456;;;10
DKK;2016-12-08;;;;92.1458;;;10
EUR;2016-12-08;;;;68.5002;;;1
GBP;2016-12-08;;;;80.6498;;;1
HUF;2016-12-08;;;;21.8672;;;100
INR;2016-12-08;;;;94.1327;;;100
JPY;2016-12-08;;;;55.9424;;;100
KGS;2016-12-08;;;;92.4028;;;100
KRW;2016-12-08;;;;54.7566;;;1000
KZT;2016-12-08;;;;19.0023;;;100
MDL;2016-12-08;;;;31.6864;;;10
NOK;2016-12-08;;;;76.0578;;;10
PLN;2016-12-08;;;;15.35;;;1
RON;2016-12-08;;;;15.2257;;;1
SEK;2016-12-08;;;;70.1083;;;10
SGD;2016-12-08;;;;44.91;;;1
TJS;2016-12-08;;;;81.1573;;;10
TMT;2016-12-08;;;;18.3153;;;1
TRY;2016-12-08;;;;18.5304;;;1
UAH;2016-12-08;;;;24.5577;;;10
USD;2016-12-08;;;;63.9114;;;1
UZS;2016-12-08;;;;20.1169;;;1000
XDR;2016-12-08;;;;86.9048;;;1
ZAR;2016-12-08;;;;46.8113;;;10
AMD;2016-12-09;;;;13.1783;;;100
AUD;2016-12-09;;;;47.5553;;;1
AZN;2016-12-09;;;;36.0478;;;1
BGN;2016-12-09;;;;34.9218;;;1
BRL;2016-12-09;;;;18.7378;;;1
BYN;2016-12-09;;;;32.0881;;;1
