TICKER;DATE;OPEN;HIGH;LOW;CLOSE;VOL;WAPRICE;NOMINAL
AMD;2017-08-04;;;;12.6827;;;100
AUD;2017-08-04;;;;48.1568;;;1
AZN;2017-08-04;;;;36.045;;;1
BGN;2017-08-04;;;;36.7671;;;1
BRL;2017-08-04;;;;19.5106;;;1
BYN;2017-08-04;;;;31.0505;;;1
CAD;2017-08-04;;;;48.1686;;;1
CHF;2017-08-04;;;;62.7132;;;1
CNY;2017-08-04;;;;90.3552;;;10
CZK;2017-08-04;;;;27.5399;;;10
DKK;2017-08-04;;;;96.6792;;;10
EUR;2017-08-04;;;;71.9527;;;1
GBP;2017-08-04;;;;80.3605;;;1
HKD;2017-08-04;;;;77.7067;;;10
HUF;2017-08-04;;;;23.6996;;;100
INR;2017-08-04;;;;95.4668;;;100
JPY;2017-08-04;;;;54.9106;;;100
KGS;2017-08-04;;;;87.8783;;;100
KRW;2017-08-04;;;;53.8997;;;1000
KZT;2017-08-04;;;;18.0751;;;100
MDL;2017-08-04;;;;33.9198;;;10
NOK;2017-08-04;;;;76.7088;;;10
PLN;2017-08-04;;;;16.8939;;;1
RON;2017-08-04;;;;15.7625;;;1
SEK;2017-08-04;;;;74.9153;;;10
SGD;2017-08-04;;;;44.6825;;;1
TJS;2017-08-04;;;;68.9561;;;10
TMT;2017-08-04;;;;17.3781;;;1
TRY;2017-08-04;;;;17.1374;;;1
UAH;2017-08-04;;;;23.492;;;10
USD;2017-08-04;;;;60.7503;;;1
UZS;2017-08-04;;;;14.823;;;1000
XDR;2017-08-04;;;;85.8153;;;1
ZAR;2017-08-04;;;;45.7795;;;10
AMD;2017-08-05;;;;12.5815;;;100
AUD;2017-08-05;;;;48.0634;;;1
AZN;2017-08-05;;;;35.7945;;;1
BGN;2017-08-05;;;;36.6491;;;1
BRL;2017-08-05;;;;19.3794;;;1
BYN;2017-08-05;;;;30.9137;;;1
CAD;2017-08-05;;;;47.9899;;;1
CHF;2017-08-05;;;;62.3417;;;1
CNY;2017-08-05;;;;89.8007;;;10
CZK;2017-08-05;;;;27.4906;;;10
DKK;2017-08-05;;;;96.3769;;;10
EUR;2017-08-05;;;;71.6879;;;1
GBP;2017-08-05;;;;79.3194;;;1
HKD;2017-08-05;;;;77.1676;;;10
HUF;2017-08-05;;;;23.5882;;;100
INR;2017-08-05;;;;94.7066;;;100
JPY;2017-08-05;;;;54.7865;;;100
KGS;2017-08-05;;;;87.2676;;;100
KRW;2017-08-05;;;;53.609;;;1000
KZT;2017-08-05;;;;18.1397;;;100
MDL;2017-08-05;;;;33.7028;;;10
NOK;2017-08-05;;;;76.4615;;;10
PLN;2017-08-05;;;;16.9034;;;1
RON;2017-08-05;;;;15.7125;;;1
SEK;2017-08-05;;;;74.5804;;;10
SGD;2017-08-05;;;;44.4897;;;1
TJS;2017-08-05;;;;68.7382;;;10
TMT;2017-08-05;;;;17.215;;;1
TRY;2017-08-05;;;;17.0708;;;1
UAH;2017-08-05;;;;23.3378;;;10
USD;2017-08-05;;;;60.3281;;;1
UZS;2017-08-05;;;;14.7201;;;1000
XDR;2017-08-05;;;;85.2086;;;1
ZAR;2017-08-05;;;;45.2136;;;10
AMD;2017-08-08;;;;12.5309;;;100
AUD;2017-08-08;;;;47.5919;;;1
AZN;2017-08-08;;;;35.3131;;;1
BGN;2017-08-08;;;;36.2443;;;1
BRL;2017-08-08;;;;19.1838;;;1
BYN;2017-08-08;;;;30.7924;;;1
CAD;2017-08-08;;;;47.4037;;;1
CHF;2017-08-08;;;;61.7589;;;1
CNY;2017-08-08;;;;89.3984;;;10
CZK;2017-08-08;;;;27.1362;;;10
DKK;2017-08-08;;;;95.3084;;;10
EUR;2017-08-08;;;;70.8414;;;1
GBP;2017-08-08;;;;78.3669;;;1
